City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Bambous Virieux,MU,77.22,shower rain,-20.3428,57.7575,Casa Tia Villa
3,Manjeshwar,IN,76.15,broken clouds,12.7194,74.8861,Mangalore Beach House - EWA Ikigai
6,Bredasdorp,ZA,55.98,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
8,Yeppoon,AU,78.58,clear sky,-23.1333,150.7333,Villa Mar Colina
11,Hobart,AU,69.66,moderate rain,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
12,East London,ZA,62.06,overcast clouds,-33.0153,27.9116,Tu Casa
13,Mahebourg,MU,77.25,shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
14,Lakes Entrance,AU,69.21,scattered clouds,-37.8811,147.981,The Esplanade Resort & Spa
15,Diffa,NE,87.37,few clouds,13.3154,12.6113,ProDAF/Diffa
16,Ypsonas,CY,66.27,clear sky,34.6884,32.9574,Club Aphrodite
18,Alice Town,BS,78.49,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
19,Carnarvon,AU,73.47,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
20,Kavaratti,IN,83.66,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
21,Saint George,US,76.24,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
24,Vaini,TO,84.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
25,Hualmay,PE,67.06,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
26,Hilo,US,74.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
28,Majene,ID,77.23,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
29,Cape Town,ZA,60.91,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
30,Chokwe,MZ,64.83,light rain,-24.5333,32.9833,Complexo Sonho Real
36,Saintes,FR,55.15,clear sky,45.6667,-0.75,Château de Pisany
37,Codrington,AU,73.99,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
38,Paita,PE,69.6,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
39,Rawson,AR,55.36,clear sky,-43.3002,-65.1023,Hosteria Sampedro
40,Sozopol,BG,59.34,overcast clouds,42.4167,27.7,Villa List
42,Umred,IN,77.29,clear sky,20.85,79.3333,"Dr.Babasaheb Ambedkar Goverment Boys Hostel ,Umred"
44,Port Elizabeth,ZA,62.31,overcast clouds,-33.918,25.5701,39 On Nile Guest House
46,Catamarca,AR,62.58,scattered clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
48,Kirakira,SB,85.5,broken clouds,-10.4544,161.9205,SanBiz Lodge
51,Alamos,MX,89.29,overcast clouds,27.0167,-108.9333,Luz del Sol
52,Hermanus,ZA,57.79,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
54,Gladstone,AU,78.73,clear sky,-23.85,151.25,Highpoint International Hotel
55,Necochea,AR,58.26,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
56,Port Blair,IN,77.04,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
57,Galle,LK,80.71,broken clouds,6.0367,80.217,Amangalla
