City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Fontanka,UA,46.5626,30.8607,45.72,80,93,16.55,overcast clouds
1,Ginda,IN,30.6945,78.4932,52.95,36,1,7.94,clear sky
2,Bambous Virieux,MU,-20.3428,57.7575,77.22,100,75,11.5,shower rain
3,Manjeshwar,IN,12.7194,74.8861,76.15,83,52,4.79,broken clouds
4,Punta Arenas,CL,-53.15,-70.9167,46.51,76,40,13.8,scattered clouds
5,Jamestown,US,42.097,-79.2353,40.51,52,100,8.05,overcast clouds
6,Bredasdorp,ZA,-34.5322,20.0403,55.98,81,0,6.76,clear sky
7,Milove,UA,49.3787,40.1302,48.33,74,100,9.91,overcast clouds
8,Yeppoon,AU,-23.1333,150.7333,78.58,61,2,11.48,clear sky
9,Upernavik,GL,72.7868,-56.1549,-13.04,99,35,9.24,scattered clouds
10,Albany,US,42.6001,-73.9662,39.56,91,100,5.23,overcast clouds
11,Hobart,AU,-42.8794,147.3294,69.66,70,0,10.36,moderate rain
12,East London,ZA,-33.0153,27.9116,62.06,77,100,6.78,overcast clouds
13,Mahebourg,MU,-20.4081,57.7,77.25,100,75,11.5,shower rain
14,Lakes Entrance,AU,-37.8811,147.981,69.21,53,34,5.48,scattered clouds
15,Diffa,NE,13.3154,12.6113,87.37,31,20,6.87,few clouds
16,Ypsonas,CY,34.6884,32.9574,66.27,82,0,3.44,clear sky
17,Nemuro,JP,43.3236,145.575,38.61,69,4,12.15,clear sky
18,Alice Town,BS,25.7167,-79.3,78.49,69,2,16.93,clear sky
19,Carnarvon,AU,-24.8667,113.6333,73.47,78,100,14.97,overcast clouds
20,Kavaratti,IN,10.5669,72.642,83.66,73,24,6.06,few clouds
21,Saint George,US,37.1041,-113.5841,76.24,14,0,26.46,clear sky
22,Mataura,NZ,-46.1927,168.8643,53.47,54,70,5.01,broken clouds
23,Brekstad,NO,63.687,9.6654,41.0,87,0,6.91,clear sky
24,Vaini,TO,-21.2,-175.2,84.36,79,75,8.05,broken clouds
25,Hualmay,PE,-11.0964,-77.6139,67.06,83,93,10.71,overcast clouds
26,Hilo,US,19.7297,-155.09,74.28,88,100,10.0,moderate rain
27,Bluff,NZ,-46.6,168.3333,53.8,61,88,6.55,overcast clouds
28,Majene,ID,-3.5403,118.9707,77.23,87,85,5.53,overcast clouds
29,Cape Town,ZA,-33.9258,18.4232,60.91,72,0,11.99,clear sky
30,Chokwe,MZ,-24.5333,32.9833,64.83,97,100,11.74,light rain
31,Pirogovo,RU,56.7796,53.1495,30.65,81,86,4.65,overcast clouds
32,Qaanaaq,GL,77.484,-69.3632,-16.87,74,16,6.31,few clouds
33,Ust-Barguzin,RU,53.45,108.9833,33.51,84,100,1.52,overcast clouds
34,Airai,TL,-8.9266,125.4092,68.18,74,53,2.28,broken clouds
35,Saskylakh,RU,71.9167,114.0833,16.14,93,99,17.83,overcast clouds
36,Saintes,FR,45.6667,-0.75,55.15,88,0,8.77,clear sky
37,Codrington,AU,-38.2667,141.9667,73.99,36,100,22.79,overcast clouds
38,Paita,PE,-5.0892,-81.1144,69.6,78,43,18.12,scattered clouds
39,Rawson,AR,-43.3002,-65.1023,55.36,66,0,9.75,clear sky
40,Sozopol,BG,42.4167,27.7,59.34,71,99,5.95,overcast clouds
41,Yellowknife,CA,62.456,-114.3525,14.56,47,81,8.01,broken clouds
42,Umred,IN,20.85,79.3333,77.29,30,0,6.35,clear sky
43,Vaideeni,RO,45.1667,23.9333,46.83,88,83,4.41,broken clouds
44,Port Elizabeth,ZA,-33.918,25.5701,62.31,87,99,4.0,overcast clouds
45,Ushuaia,AR,-54.8,-68.3,38.86,70,0,8.05,clear sky
46,Catamarca,AR,-28.4696,-65.7852,62.58,66,28,5.91,scattered clouds
47,Torbay,CA,47.6666,-52.7314,46.38,56,40,28.77,scattered clouds
48,Kirakira,SB,-10.4544,161.9205,85.5,63,84,5.86,broken clouds
49,Zhigansk,RU,66.7697,123.3711,7.68,98,90,11.99,overcast clouds
